ID,Time in System, Time in search
1532,937.1108,241.5237
961,2084.159,0
1525,954.0649,0
1141,1731.479,0
1331,1356.002,338.6635
1332,1356.002,338.6635
1208,1598.425,0
1209,1598.425,0
1005,1989.512,136.3772
1337,1356.189,0
1338,1356.189,0
1214,1608.935,0
1135,1764.385,0
1136,1764.385,0
1203,1635.366,204.047
1546,944.2026,238.3005
1133,1780.135,0
1134,1780.135,0
1226,1592.568,225.2628
1115,1812.981,0
1116,1812.981,0
1493,1075.859,0
1494,1075.859,0
1495,1075.859,0
1468,1133.47,0
1469,1133.47,0
1125,1816.818,166.3768
1126,1816.818,166.3768
1558,956.4474,0
958,2149.817,0
959,2149.817,0
960,2149.817,0
1748,577.3389,0
1669,758.3231,179.6656
1526,1022.841,0
1026,2011.705,90.74501
1027,2011.705,90.74501
1028,2011.705,90.74501
1029,2011.705,90.74501
1533,1017.754,0
1492,1117.529,192.5938
1099,1886.752,0
1184,1736.821,0
1251,1603.777,195.8436
1377,1354.641,227.6168
1333,1450.78,240.7292
1000,2102.52,156.4564
1394,1316.686,226.7715
1157,1804.588,198.5471
1638,849.4425,206.549
1127,1863.3,0
1128,1863.3,0
1129,1863.3,0
1083,1949.294,102.1021
1084,1949.294,102.1021
1085,1949.294,102.1021
1592,944.54,194.7717
944,2251.955,0
1550,1029.274,0
1043,2034.551,214.3297
1044,2034.551,214.3297
1480,1187.991,208.189
1359,1432.12,227.8257
1622,903.8282,0
1623,903.8282,0
1585,978.4595,208.8794
1408,1336.007,204.9088
1274,1617.497,0
1404,1362.227,0
1514,1138.68,0
1374,1431.553,22.20111
1400,1366.327,219.4773
1325,1542.601,241.6442
1167,1858.959,0
1168,1858.959,0
1169,1858.959,0
1723,740.7889,139.7985
1243,1706.524,0
1148,1898.533,0
1149,1898.533,0
1074,2033.835,103.819
1075,2033.835,103.819
1076,2033.835,103.819
1457,1288.952,0
1458,1288.952,0
1681,845.3008,0
1049,2093.896,217.9816
1050,2093.896,217.9816
1264,1684.569,0
1265,1684.569,0
1393,1427.664,0
1105,1999.01,0
1405,1410.266,203.523
1153,1917.461,177.8651
1154,1917.461,177.8651
1155,1917.461,177.8651
1156,1917.461,177.8651
1249,1727.768,0
1101,2009.82,112.9891
1102,2009.82,112.9891
1103,2009.82,112.9891
1104,2009.82,112.9891
1522,1185.838,226.3918
1375,1494.906,227.1521
1079,2068.856,187.8875
1080,2068.856,187.8875
1512,1222.757,228.901
1513,1222.757,228.901
1144,1965.804,194.4825
1145,1965.804,194.4825
1201,1859.659,0
1202,1859.659,0
1117,2013.856,134.8274
1323,1618.465,0
1324,1618.465,0
1162,1941.891,198.113
1163,1941.891,198.113
1164,1941.891,198.113
1165,1941.891,198.113
1252,1760.208,0
1253,1760.208,0
1254,1760.208,0
