Time, Seats Used, Seats Taken, Delta_Time, Integral_Increment_Used, Integral_Increment_Reserved
153.5431,40,37,1.663116,66.52466,61.53531
154.2017,41,36,0.6585846,27.00197,23.70905
154.7181,42,35,0.5164032,21.68893,18.07411
155.0667,42,36,0.3485565,14.63937,12.54803
155.0667,42,37,0,0,0
155.0667,42,38,0,0,0
155.0667,42,39,0,0,0
155.6857,43,38,0.6190948,26.62108,23.5256
156.9785,44,37,1.292709,56.87921,47.83025
159.5296,44,38,2.551147,112.2505,96.9436
159.5296,44,39,0,0,0
161.3492,45,38,1.81955,81.87973,69.14288
162.3275,45,39,0.9783173,44.02428,38.15437
162.3275,45,40,0,0,0
163.786,46,39,1.458527,67.09222,56.88254
164.903,47,38,1.116959,52.49706,42.44443
165.1227,47,39,0.2197571,10.32858,8.570526
165.1227,47,40,0,0,0
165.2533,47,41,0.1306305,6.139633,5.35585
166.6725,48,40,1.419113,68.11743,56.76453
170.8989,49,39,4.22644,207.0956,164.8312
172.5595,49,40,1.660629,81.37083,66.42517
172.5595,49,41,0,0,0
173.0609,49,42,0.501358,24.56654,21.05704
174.1426,49,43,1.081726,53.00458,46.51422
174.5388,50,42,0.396225,19.81125,16.64145
174.8311,51,41,0.2922516,14.90483,11.98232
175.2533,52,40,0.4222565,21.95734,16.89026
175.6302,53,39,0.3769073,19.97609,14.69939
176.577,53,40,0.9467316,50.17677,37.86926
176.6353,54,39,0.05830383,3.148407,2.273849
178.1318,54,40,1.49649,80.81049,59.85962
178.1318,54,41,0,0,0
179.7741,54,42,1.642319,88.68521,68.97739
179.7741,54,43,0,0,0
181.4957,54,44,1.721603,92.96658,75.75055
182.5841,55,43,1.08844,59.8642,46.80292
183.3109,55,44,0.7268066,39.97437,31.97949
188.0832,55,45,4.772217,262.4719,214.7498
188.0832,55,46,0,0,0
188.0832,55,47,0,0,0
188.0832,55,48,0,0,0
189.7741,56,47,1.690933,94.69226,79.47386
190.4538,57,46,0.6797028,38.74306,31.26633
192.0543,58,45,1.60051,92.82956,72.02293
194.7463,58,46,2.692017,156.137,123.8328
