Time, Seats Used, Seats Taken, Delta_Time, Increment_Used, Increment_Reserved
76.59976,2,89,0.4632645,0.9265289,41.23054
76.59976,1,89,0,0,0
76.96352,1,89,0.3637543,0.3637543,32.37413
76.96352,0,89,0,0,0
77.02834,0,89,0.06481934,0,5.768921
77.45918,0,90,0.4308472,0,38.77625
78.6924,0,91,1.233215,0,112.2226
79.05587,0,92,0.363472,0,33.43942
80.67496,0,93,1.619095,0,150.5758
80.67496,0,94,0,0,0
80.67496,0,95,0,0,0
82.26382,0,96,1.58886,0,152.5305
83.26382,1,95,1,1,95
83.26382,0,95,0,0,0
83.27936,0,95,0.01553345,0,1.475677
83.27936,1,94,0,0,0
83.27936,2,93,0,0,0
83.27936,3,92,0,0,0
84.1712,4,91,0.8918381,3.567352,81.15726
84.27936,5,90,0.1081619,0.5408096,9.734573
84.27936,4,90,0,0,0
84.27936,4,90,0,0,0
84.27936,3,90,0,0,0
84.69329,3,90,0.4139328,1.241798,37.25395
84.69329,2,90,0,0,0
85.1712,2,90,0.4779053,0.9558105,43.01147
85.1712,1,90,0,0,0
85.45372,1,90,0.2825241,0.2825241,25.42717
85.45372,0,90,0,0,0
86.1365,0,90,0.6827774,0,61.44997
86.1365,0,91,0,0,0
86.1365,0,92,0,0,0
86.1365,0,93,0,0,0
86.73051,0,94,0.5940094,0,55.83688
87.18322,0,95,0.452713,0,43.00774
88.6924,0,96,1.509178,0,144.8811
90.38628,1,95,1.693878,1.693878,160.9184
90.38628,0,95,0,0,0
91.8699,0,95,1.48362,0,140.9439
91.8699,0,96,0,0,0
91.8699,0,97,0,0,0
93.27936,0,98,1.409462,0,138.1273
93.27936,1,97,0,0,0
93.27936,2,96,0,0,0
93.27936,3,95,0,0,0
94.27936,4,94,1,4,94
94.27936,3,94,0,0,0
94.53201,3,94,0.252655,0.7579651,23.74957
94.53201,2,94,0,0,0
94.62022,2,94,0.08821106,0.1764221,8.29184
94.62022,1,94,0,0,0
94.72725,1,94,0.1070251,0.1070251,10.06036
94.72725,0,94,0,0,0
95.30193,0,94,0.5746841,0,54.02031
96.01704,1,93,0.7151031,0.7151031,66.50459
96.1365,1,94,0.1194611,0.1194611,11.22934
96.53315,1,95,0.3966522,0.3966522,37.68196
96.90273,1,96,0.3695755,0.3695755,35.47925
96.90273,0,96,0,0,0
97.3793,0,96,0.4765778,0,45.75146
100.0087,0,97,2.629379,0,255.0498
100.6674,0,98,0.6586914,0,64.55176
100.6674,0,99,0,0,0
100.6674,0,100,0,0,0
104.7079,0,101,4.04055,0,408.0956
105.0985,1,100,0.3905945,0.3905945,39.05945
105.0985,1,101,0,0,0
